"","date","price"
"1","2014-07-31",1000
"2","2014-08-01",1018.202717
"3","2014-08-02",1008.772389
"4","2014-08-03",1004.4165
"5","2014-08-04",1004.984138
"6","2014-08-05",998.0410565
"7","2014-08-06",999.8663178
"8","2014-08-07",1006.144005
"9","2014-08-08",1012.505635
"10","2014-08-09",1006.846193
"11","2014-08-10",1006.86504
"12","2014-08-11",980.9331217
"13","2014-08-12",970.5076943
"14","2014-08-13",930.476552
"15","2014-08-14",862.7822021
"16","2014-08-15",843.5153692
"17","2014-08-16",891.0207203
"18","2014-08-17",846.5180777
"19","2014-08-18",786.4921555
"20","2014-08-19",829.4406174
"21","2014-08-20",880.5010963
"22","2014-08-21",882.2979487
"23","2014-08-22",882.5566
"24","2014-08-23",849.458735
"25","2014-08-24",869.3409207
"26","2014-08-25",855.7833932
"27","2014-08-26",872.9780858
"28","2014-08-27",872.5128548
"29","2014-08-28",866.2610835
"30","2014-08-29",868.4953818
"31","2014-08-30",857.5924318
"32","2014-08-31",820.8686879
"33","2014-09-01",814.2321201
"34","2014-09-02",810.9593584
"35","2014-09-03",811.6338818
"36","2014-09-04",836.8057173
"37","2014-09-05",822.1685513
"38","2014-09-06",826.1332828
"39","2014-09-07",822.7349399
"40","2014-09-08",806.7997987
"41","2014-09-09",808.1129548
"42","2014-09-10",817.4124013
"43","2014-09-11",816.5868348
"44","2014-09-12",812.1096433
"45","2014-09-13",816.6118471
"46","2014-09-14",816.7506834
"47","2014-09-15",813.2662258
"48","2014-09-16",796.4645479
"49","2014-09-17",785.3543419
"50","2014-09-18",733.2341797
"51","2014-09-19",680.2144719
"52","2014-09-20",706.2804849
"53","2014-09-21",685.178632
"54","2014-09-22",688.7218943
"55","2014-09-23",746.7688196
"56","2014-09-24",725.9928765
"57","2014-09-25",704.7671946
"58","2014-09-26",696.8117642
"59","2014-09-27",688.1426984
"60","2014-09-28",653.2935277
"61","2014-09-29",646.2270535
"62","2014-09-30",669.9979464
"63","2014-10-01",659.2523706
"64","2014-10-02",644.0672436
"65","2014-10-03",618.411663
"66","2014-10-04",570.6569707
"67","2014-10-05",565.2824686
"68","2014-10-06",571.0504028
"69","2014-10-07",576.0868333
"70","2014-10-08",611.7703398
"71","2014-10-09",620.1448164
"72","2014-10-10",618.2748965
"73","2014-10-11",621.403416
"74","2014-10-12",645.907032
"75","2014-10-13",666.830649
"76","2014-10-14",685.7847338
"77","2014-10-15",674.9876293
"78","2014-10-16",653.4982305
"79","2014-10-17",654.9047858
"80","2014-10-18",669.6544909
"81","2014-10-19",665.5177744
"82","2014-10-20",653.6734758
"83","2014-10-21",659.4481674
"84","2014-10-22",654.9217888
"85","2014-10-23",615.3886954
"86","2014-10-24",612.4063704
"87","2014-10-25",598.7981198
"88","2014-10-26",603.3437449
"89","2014-10-27",601.4677283
"90","2014-10-28",606.3572568
