,date,price
1,2015/11/19,29.695
2,2015/11/20,29.825001
3,2015/11/23,29.4375
4,2015/11/24,29.719999
5,2015/11/25,29.5075
6,2015/11/27,29.452499
7,2015/11/30,29.575001
8,2015/12/01,29.334999
9,2015/12/02,29.07
10,2015/12/03,28.799999
11,2015/12/04,29.7575
12,2015/12/07,29.57
13,2015/12/08,29.557501
14,2015/12/09,28.905001
15,2015/12/10,29.0425
16,2015/12/11,28.295
17,2015/12/14,28.120001
18,2015/12/15,27.622499
19,2015/12/16,27.834999
20,2015/12/17,27.245001
21,2015/12/18,26.5075
22,2015/12/21,26.8325
23,2015/12/22,26.807501
24,2015/12/23,27.1525
25,2015/12/24,27.0075
26,2015/12/28,26.705
27,2015/12/29,27.184999
28,2015/12/30,26.83
29,2015/12/31,26.315001
30,2016/01/04,26.3375
31,2016/01/05,25.6775
32,2016/01/06,25.174999
33,2016/01/07,24.112499
34,2016/01/08,24.24
35,2016/01/11,24.6325
36,2016/01/12,24.99
37,2016/01/13,24.3475
38,2016/01/14,24.879999
39,2016/01/15,24.282499
40,2016/01/19,24.165001
41,2016/01/20,24.1975
42,2016/01/21,24.075001
43,2016/01/22,25.355
44,2016/01/25,24.860001
45,2016/01/26,24.997499
46,2016/01/27,23.355
47,2016/01/28,23.522499
48,2016/01/29,24.334999
49,2016/02/01,24.1075
50,2016/02/02,23.620001
51,2016/02/03,24.0875
52,2016/02/04,24.15
53,2016/02/05,23.504999
54,2016/02/08,23.752501
55,2016/02/09,23.747499
56,2016/02/10,23.567499
57,2016/02/11,23.424999
58,2016/02/12,23.497499
59,2016/02/16,24.16
60,2016/02/17,24.530001
61,2016/02/18,24.065001
62,2016/02/19,24.01
63,2016/02/22,24.219999
64,2016/02/23,23.672501
65,2016/02/24,24.025
66,2016/02/25,24.190001
67,2016/02/26,24.227501
68,2016/02/29,24.172501
69,2016/03/01,25.1325
70,2016/03/02,25.1875
71,2016/03/03,25.375
72,2016/03/04,25.752501
73,2016/03/07,25.467501
74,2016/03/08,25.2575
75,2016/03/09,25.280001
76,2016/03/10,25.2925
77,2016/03/11,25.565001
78,2016/03/14,25.629999
79,2016/03/15,26.145
80,2016/03/16,26.4925
81,2016/03/17,26.450001
82,2016/03/18,26.48
83,2016/03/21,26.477501
84,2016/03/22,26.68
85,2016/03/23,26.532499
86,2016/03/24,26.4175
87,2016/03/28,26.297501
88,2016/03/29,26.92
89,2016/03/30,27.389999
90,2016/03/31,27.247499
91,2016/04/01,27.497499
92,2016/04/04,27.780001
93,2016/04/05,27.452499
94,2016/04/06,27.74
95,2016/04/07,27.135
96,2016/04/08,27.165001
97,2016/04/11,27.254999
98,2016/04/12,27.610001
99,2016/04/13,28.01
100,2016/04/14,28.025
101,2016/04/15,27.4625
102,2016/04/18,26.870001
103,2016/04/19,26.727501
104,2016/04/20,26.782499
105,2016/04/21,26.4925
106,2016/04/22,26.42
107,2016/04/25,26.27
108,2016/04/26,26.0875
109,2016/04/27,24.455
110,2016/04/28,23.7075
111,2016/04/29,23.434999
112,2016/05/02,23.41
113,2016/05/03,23.795
114,2016/05/04,23.547501
115,2016/05/05,23.309999
116,2016/05/06,23.18
117,2016/05/09,23.1975
118,2016/05/10,23.355
119,2016/05/11,23.127501
120,2016/05/12,22.584999
121,2016/05/13,22.629999
122,2016/05/16,23.469999
123,2016/05/17,23.372499
124,2016/05/18,23.639999
125,2016/05/19,23.549999
126,2016/05/20,23.805
127,2016/05/23,24.1075
128,2016/05/24,24.475
129,2016/05/25,24.905001
130,2016/05/26,25.102501
131,2016/05/27,25.0875
132,2016/05/31,24.965
133,2016/06/01,24.615
134,2016/06/02,24.43
135,2016/06/03,24.48
136,2016/06/06,24.657499
137,2016/06/07,24.7575
138,2016/06/08,24.735001
139,2016/06/09,24.9125
140,2016/06/10,24.7075
141,2016/06/13,24.334999
142,2016/06/14,24.365
143,2016/06/15,24.285
144,2016/06/16,24.387501
145,2016/06/17,23.8325
146,2016/06/20,23.775
147,2016/06/21,23.977501
148,2016/06/22,23.887501
149,2016/06/23,24.025
150,2016/06/24,23.35
151,2016/06/27,23.01
152,2016/06/28,23.397499
153,2016/06/29,23.6
154,2016/06/30,23.9
155,2016/07/01,23.9725
156,2016/07/05,23.747499
157,2016/07/06,23.8825
158,2016/07/07,23.985001
159,2016/07/08,24.17
160,2016/07/11,24.245001
161,2016/07/12,24.355
162,2016/07/13,24.217501
163,2016/07/14,24.6975
164,2016/07/15,24.695
165,2016/07/18,24.9575
166,2016/07/19,24.967501
167,2016/07/20,24.99
168,2016/07/21,24.8575
169,2016/07/22,24.665001
170,2016/07/25,24.334999
171,2016/07/26,24.1675
172,2016/07/27,25.737499
173,2016/07/28,26.084999
174,2016/07/29,26.0525
175,2016/08/01,26.512501
176,2016/08/02,26.120001
177,2016/08/03,26.4475
178,2016/08/04,26.467501
179,2016/08/05,26.870001
180,2016/08/08,27.092501
181,2016/08/09,27.202499
182,2016/08/10,27
183,2016/08/11,26.9825
184,2016/08/12,27.045
185,2016/08/15,27.370001
186,2016/08/16,27.344999
187,2016/08/17,27.305
188,2016/08/18,27.27
189,2016/08/19,27.34
190,2016/08/22,27.127501
191,2016/08/23,27.2125
192,2016/08/24,27.0075
193,2016/08/25,26.8925
194,2016/08/26,26.735001
195,2016/08/29,26.705
196,2016/08/30,26.5
197,2016/08/31,26.525
198,2016/09/01,26.682501
199,2016/09/02,26.932501
200,2016/09/06,26.924999
201,2016/09/07,27.09
202,2016/09/08,26.379999
203,2016/09/09,25.782499
204,2016/09/12,26.360001
205,2016/09/13,26.987499
206,2016/09/14,27.942499
207,2016/09/15,28.8925
208,2016/09/16,28.73
209,2016/09/19,28.395
210,2016/09/20,28.3925
211,2016/09/21,28.387501
212,2016/09/22,28.655001
213,2016/09/23,28.1775
214,2016/09/26,28.219999
215,2016/09/27,28.272499
216,2016/09/28,28.487499
217,2016/09/29,28.045
218,2016/09/30,28.262501
219,2016/10/03,28.129999
220,2016/10/04,28.25
221,2016/10/05,28.262501
222,2016/10/06,28.4725
223,2016/10/07,28.514999
224,2016/10/10,29.012501
225,2016/10/11,29.075001
226,2016/10/12,29.334999
227,2016/10/13,29.245001
228,2016/10/14,29.407499
229,2016/10/17,29.387501
230,2016/10/18,29.3675
231,2016/10/19,29.280001
232,2016/10/20,29.264999
233,2016/10/21,29.15
234,2016/10/24,29.4125
235,2016/10/25,29.5625
236,2016/10/26,28.897499
237,2016/10/27,28.620001
238,2016/10/28,28.43
239,2016/10/31,28.385
240,2016/11/01,27.872499
241,2016/11/02,27.897499
242,2016/11/03,27.4575
243,2016/11/04,27.209999
244,2016/11/07,27.602501
245,2016/11/08,27.764999
246,2016/11/09,27.719999
247,2016/11/10,26.9475
248,2016/11/11,27.1075
249,2016/11/14,26.4275
250,2016/11/15,26.7775
251,2016/11/16,27.497499
252,2016/11/17,27.487499
253,2016/11/18,27.514999
254,2016/11/21,27.932501
255,2016/11/22,27.950001
256,2016/11/23,27.807501
257,2016/11/25,27.9475
258,2016/11/28,27.8925
259,2016/11/29,27.865
260,2016/11/30,27.629999
261,2016/12/01,27.372499
262,2016/12/02,27.475
263,2016/12/05,27.2775
264,2016/12/06,27.487499
265,2016/12/07,27.7575
266,2016/12/08,28.030001
267,2016/12/09,28.487499
268,2016/12/12,28.325001
269,2016/12/13,28.797501
270,2016/12/14,28.797501
271,2016/12/15,28.955
272,2016/12/16,28.9925
273,2016/12/19,29.16
274,2016/12/20,29.237499
275,2016/12/21,29.264999
276,2016/12/22,29.0725
277,2016/12/23,29.129999
278,2016/12/27,29.315001
279,2016/12/28,29.190001
280,2016/12/29,29.182501
281,2016/12/30,28.955
282,2017/01/03,29.0375
283,2017/01/04,29.004999
284,2017/01/05,29.1525
285,2017/01/06,29.477501
286,2017/01/09,29.747499
287,2017/01/10,29.7775
288,2017/01/11,29.9375
289,2017/01/12,29.8125
290,2017/01/13,29.76
291,2017/01/17,30
292,2017/01/18,29.997499
293,2017/01/19,29.945
294,2017/01/20,30
295,2017/01/23,30.02
296,2017/01/24,29.9925
297,2017/01/25,30.469999
298,2017/01/26,30.485001
299,2017/01/27,30.487499
300,2017/01/30,30.407499
301,2017/01/31,30.3375
302,2017/02/01,32.1875
303,2017/02/02,32.1325
304,2017/02/03,32.27
305,2017/02/06,32.572498
306,2017/02/07,32.8825
307,2017/02/08,33.009998
308,2017/02/09,33.105
309,2017/02/10,33.029999
310,2017/02/13,33.322498
311,2017/02/14,33.755001
312,2017/02/15,33.877499
313,2017/02/16,33.837502
314,2017/02/17,33.93
315,2017/02/21,34.174999
316,2017/02/22,34.2775
317,2017/02/23,34.1325
318,2017/02/24,34.165001
319,2017/02/27,34.232498
320,2017/02/28,34.247501
321,2017/03/01,34.947498
322,2017/03/02,34.740002
323,2017/03/03,34.945
324,2017/03/06,34.834999
325,2017/03/07,34.880001
326,2017/03/08,34.75
327,2017/03/09,34.669998
328,2017/03/10,34.785
329,2017/03/13,34.799999
330,2017/03/14,34.747501
331,2017/03/15,35.115002
332,2017/03/16,35.172501
333,2017/03/17,34.997501
334,2017/03/20,35.365002
335,2017/03/21,34.959999
336,2017/03/22,35.355
337,2017/03/23,35.23
338,2017/03/24,35.16
339,2017/03/27,35.220001
340,2017/03/28,35.950001
341,2017/03/29,36.029999
342,2017/03/30,35.982498
343,2017/03/31,35.915001
344,2017/04/03,35.924999
345,2017/04/04,36.192501
346,2017/04/05,36.005001
347,2017/04/06,35.915001
348,2017/04/07,35.834999
349,2017/04/10,35.7925
350,2017/04/11,35.407501
351,2017/04/12,35.450001
352,2017/04/13,35.262501
353,2017/04/17,35.4575
354,2017/04/18,35.299999
355,2017/04/19,35.169998
356,2017/04/20,35.610001
357,2017/04/21,35.567501
358,2017/04/24,35.91
359,2017/04/25,36.1325
360,2017/04/26,35.919998
361,2017/04/27,35.947498
362,2017/04/28,35.912498
363,2017/05/01,36.645
364,2017/05/02,36.877499
365,2017/05/03,36.764999
366,2017/05/04,36.6325
367,2017/05/05,37.240002
368,2017/05/08,38.252499
369,2017/05/09,38.497501
370,2017/05/10,38.314999
371,2017/05/11,38.487499
372,2017/05/12,39.025002
373,2017/05/15,38.924999
374,2017/05/16,38.8675
375,2017/05/17,37.5625
376,2017/05/18,38.134998
377,2017/05/19,38.264999
378,2017/05/22,38.497501
379,2017/05/23,38.450001
380,2017/05/24,38.334999
381,2017/05/25,38.467499
382,2017/05/26,38.4025
383,2017/05/30,38.4175
