年別,松山機場,中山國中,南京復興BR,忠孝復興BR,大安BR,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館BR,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站BL,台北車站R,中山R,雙連,民權西路R,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生BL,忠孝復興BL,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,大橋頭,民權西路O,中山國小,行天宮,松江南京O,忠孝新生O,蘆洲,三民高中,徐匯中學,三和國中,三重國小
99年進站,1106998,5553606,6762067,2257854,4578492,4455802,3526158,1242000,970397,4184634,711627,1350208,2366725,2126957,2878540,2611081,2731036,1273281,2152581,731920,1613673,1330609,189316,1732453,689987,3631261,3314586,4637711,5917790,5126790,2589610,10062367,5979739,9798849,8156783,1502152,9159689,6765513,6761164,5859220,8084496,28556617,24931994,10831173,7327512,10451548,8219794,12831571,8978606,6260864,4267925,8953002,2339432,2568899,5436102,1945417,1135784,1026282,3814665,3305776,2354414,12634296,4924584,2025168,5890190,4680523,8996315,9055920,14497537,7607126,8916385,19917071,5987946,7401938,14994738,11315442,6919026,17801117,6286194,6225969,6752302,3997435,385604,350523,388298,733417,674050,201188,656871,643791,542809,535044,575516
99年出站,1021635,5256239,7385805,2638537,4842272,4418876,3475582,1167439,911268,4367419,602093,1389203,2370468,2159390,2841949,2660294,2708846,1210931,2203545,730673,1662463,1355615,186585,1529813,704818,3345793,3421798,4413790,5753882,5054241,2470981,10001388,5823018,9849715,8152265,1638271,9538105,6678471,6584309,5570440,8240172,26063049,26037070,11303538,7986471,10645394,7562013,12763158,9021963,6409877,4040092,9331381,2144363,2019471,5832356,1830171,1121904,1032019,3961245,3325405,2405942,12335597,4798345,2020227,5815301,3968220,8652698,9664886,13928126,7556600,8557027,20145129,6469802,7722741,14504881,12664400,7618188,18208523,6195764,6134728,7317060,3382144,363634,188842,421627,786016,683347,198972,702963,651629,552916,521198,620622
100年進站,1553658,5495671,7219520,2372833,4959890,4889851,3818547,1339726,1049782,4489978,755041,1435632,2659947,2505057,3550999,3345406,3414345,1538423,2565218,869725,2138054,2107979,308163,3292667,606267,3725406,3429427,4881744,6085644,5252330,2711541,10454217,6507141,10024845,8747015,1541284,9563618,7133289,7316186,6067377,8454774,29740313,27581951,11086541,7442630,7802472,10609162,12926050,9546394,7075244,4166403,9555126,2448462,2684965,5639729,2147757,1171100,1041793,3815595,3374596,2491923,13449899,5401131,2140300,6326046,5068760,9190606,10547842,15254752,7996056,9317067,21344367,6397311,7147563,16315210,12743406,7734558,21312471,6855933,6718044,5787248,2836230,1942731,2158075,2490066,4113602,4436515,1363700,2811639,2975488,2674996,2841604,2971844
100年出站,1490635,5227422,7900188,2802386,5199829,4805834,3794990,1249422,986162,4687819,629179,1445785,2695325,2530034,3521751,3433946,3413231,1476919,2604772,860027,2153562,2205852,312792,2544153,654819,3395263,3554638,4608556,5962903,5179172,2577393,10339535,6379122,10109663,8776888,1675936,9941104,7077000,7148840,5767751,8691595,26819562,29336485,11515968,8035261,8476311,9813691,12827041,9596116,7160765,3964841,9928402,2245287,2137226,6032038,2047247,1155798,1061572,3971419,3394665,2554088,13113757,5291426,2129449,6265735,4313308,8968491,11111581,14507802,7973335,8899255,21636031,6822766,7186491,15867756,14153878,8452633,21788964,6756406,6671868,6187921,2442568,1799818,1154627,2624512,4473624,4756924,1327728,2776553,2961564,2721758,2758778,3058104
101年進站,1716667,5243484,7156447,2340511,4964801,4918815,3949171,1346716,1061519,4536517,751331,1468995,2660069,2629837,3435284,3718559,3721790,1636069,2555979,932119,2345502,2447403,340705,4193420,580969,3948309,3510784,4911884,6194136,5298298,2822085,10581420,6138929,10491624,8728055,1545041,10010224,7454144,7584981,6334487,8473564,28674353,29117701,11279409,7645975,6633718,7802794,12720792,9533861,7537926,4246023,9863448,2537211,2756418,5781221,2317498,1223749,1009719,3958907,3484724,2594718,14118922,5431364,2241047,6533205,5425947,9241665,11924465,14011796,8157526,9582961,20839347,6675937,7824344,16454801,13851640,8188091,22644976,7113016,6996040,5317333,2895118,3064971,2651209,3670388,5723488,6575737,1950081,3368959,3429044,3317904,3292534,3224545
101年出站,1588994,5009954,7868068,2765380,5145859,4852389,3877151,1256200,1002521,4744334,620758,1477727,2705273,2673880,3426369,3843313,3759161,1575461,2552301,910285,2343442,2543656,346471,2923897,634477,3613455,3610742,4658406,6115819,5228723,2669103,10342638,6077611,10475947,8727650,1684654,10405417,7417419,7440347,6013383,8739480,26163797,30702787,11692481,8211372,7091457,7295045,12572483,9556540,7615206,4061962,10236671,2329428,2215293,6172857,2235153,1207594,1037187,4139901,3474232,2674449,13765136,5378126,2221828,6486019,4620927,9015986,12606738,12967821,8134841,9104888,21095653,7068753,7731192,16190100,15120162,9163382,23078487,6998847,7012286,5678583,2548145,2768135,1737575,3724300,6211551,7134885,1919580,3212283,3388089,3420010,3134113,3202771
102年進站,1836070,5159971,7091331,2311510,4798765,4780242,3927139,1348429,1066952,4534619,746847,1460062,2768425,2749852,3648114,4001343,3930284,1678472,2540166,961885,2471714,2573301,391248,4809133,679800,4072915,3633271,5030781,6387895,5463835,2972506,10770610,6462327,11312754,8583393,1545093,11184274,8302285,8383273,6797459,8029453,27923263,29571473,10877894,7524831,5946528,8819109,12823326,9713317,7662647,4277853,9983502,2568674,2793086,5870607,2403525,1233578,980326,4146053,3506577,2588513,14690423,5212643,2289908,6637812,5782107,9423822,12323115,13910772,8189816,9651095,21621938,6845099,8593868,16799631,14148705,8531449,23581222,7170994,7153117,5157017,3231392,3678162,3049134,4634655,7406048,9025318,2075643,3663291,3717555,3645423,3532211,3463573
102年出站,1726548,4931507,7834123,2770261,5021919,4741121,3895383,1254632,1011092,4750664,615740,1437220,2852986,2818509,3659328,4172934,3967379,1625426,2505559,938275,2467229,2653741,398057,3303792,732728,3709965,3722229,4761534,6311454,5398413,2801861,10374852,6548390,11111674,8609264,1685765,11559384,8273300,8217757,6584214,8305266,24993584,31576806,11206198,8055589,6304548,8473710,12563648,9733374,7786966,4095271,10374371,2365194,2263891,6285850,2307296,1221160,1010428,4361285,3542360,2553614,14344175,5202642,2264980,6604188,4948302,9177438,13096680,12856636,8189706,9149365,21846034,7225618,8335009,16507763,15375300,9587116,24059843,7060117,7190032,5426089,2871812,3172713,2178797,4643829,7950214,9798254,2047842,3430350,3674942,3765027,3349202,3445973
103年進站,1957390,5294712,7037986,2305546,4652590,4894197,3879124,1417495,1105361,4671972,788475,1491109,3243392,2877635,3807648,4475804,4208634,1781361,2658376,1093007,2591191,2711087,495743,5798452,741055,4220087,3739174,5213662,6735483,5512005,3106830,10779520,6877764,11420018,9488042,1913839,11698182,8764565,8765520,7066269,8115528,27751805,30916494,11451209,7726286,5728964,9570635,13244138,10226717,8106612,4346328,10237046,2619653,2884692,6028626,2513565,1248100,941442,4198834,3455459,2614141,14762892,5199962,2351721,6781790,6080407,9759520,12774825,14091212,8204848,9793728,23385630,7244952,8894180,16662179,13914713,8304809,20416791,6944045,6944902,5193387,3510036,4108694,3235047,5097330,8301634,10038337,2006576,3887218,3952320,3927330,3813006,3743388
103年出站,1857025,5106823,7691797,2839790,4820540,4823317,3796503,1312300,1035229,4898605,643399,1462255,3353415,2950664,3817472,4684867,4210880,1717912,2625436,1054723,2569783,2787058,501588,4163178,787149,3799080,3872220,4961612,6584057,5483279,2934473,10460344,6893481,11240801,9581902,2048809,12039206,8751778,8590996,6873977,8570472,25056115,33134865,11920399,8275152,6029257,9295350,12876643,10313411,8302125,4145370,10639508,2412765,2352638,6456988,2395267,1233047,983945,4373359,3519483,2540450,14420300,5218978,2313966,6772135,5277305,9461264,13615216,12988652,8232716,9244145,23716266,7602624,8587150,16299353,15132029,9327951,20779078,6829759,6992628,5422887,3136319,3470473,2442524,5104553,8831753,10914289,2022035,3604237,3928263,4036679,3614539,3710314
