年別,松山機場,中山國中,南京復興BR,忠孝復興BR,大安BR,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館BR,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站BL,台北車站R,中山R,雙連,民權西路R,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生BL,忠孝復興BL,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,大橋頭,民權西路O,中山國小,行天宮,松江南京O,忠孝新生O,蘆洲,三民高中,徐匯中學,三和國中,三重國小
104年進站,2052225,5340245,4840107,2241681,4863870,5010298,3892950,1455096,1116100,4735905,827258,1496119,2967605,3237958,3972544,4821360,4530990,1856773,2828407,1214462,2724972,2806697,1200524,5728174,792074,4322178,3880643,5479218,6975406,5578204,3280867,10752281,6827333,11193846,9946213,2493233,12084506,8970055,8834729,7270801,7569162,26997868,29504369,11224898,7516649,5300332,9691964,13430667,10456837,8310863,4312976,10316686,2657093,2968257,5996428,2593562,1246894,916640,4175025,3397716,2653185,14612262,4895214,2412169,6970586,6653007,10093575,13524814,14419634,8521906,10101561,25600566,7038409,9142130,15956657,13546131,7645451,20718933,6705338,6064887,4911556,4067259,4491432,3272327,5439007,8640620,9513509,2045804,4110368,4138453,4089591,4051236,3977533
104年出站,1941615,5188030,5059272,2707415,4952664,4919458,3810615,1347152,1036427,4936632,679263,1468174,3044382,3299642,4019345,5049691,4512517,1802851,2771019,1175326,2697329,2860152,1153195,4140181,834549,3864465,4034552,5252243,6794465,5565966,3095697,10484665,6900796,11127515,9909434,2628119,12397310,8986278,8602761,7078806,8029476,24280186,32261216,11872807,8050997,5578801,9625107,12982237,10631565,8450270,4115461,10731425,2460145,2443992,6435609,2469669,1223170,968832,4322316,3489233,2570229,14237028,4981894,2375424,6986841,5932751,9727495,14430866,13263561,8597630,9568356,25996825,7433989,8847247,15742717,14467127,8407575,21006961,6636153,6108639,5096387,3805116,3756860,2514796,5452338,9074712,10514826,2085492,3795231,4120666,4212804,3854639,3955988
105年進站,2144107,5323635,4787613,2198973,5117396,5090994,3949387,1503463,1090304,4775981,842823,1462859,2893273,3273014,4095526,5011158,4640970,1887975,2888731,1239429,2760422,2811702,1448211,5513398,821627,4426834,3873068,5706159,7140332,5724649,3389078,10895782,6819029,11215085,10617993,2824867,12462648,9209997,8833340,7508684,7752364,27312703,30093426,11547856,7543821,5130759,9959000,13303230,10401476,8214213,4324432,10370590,2665474,3158244,5980473,2830397,1222066,924093,4222180,3370109,2516806,14582090,4066101,2462604,7191607,7057012,10354569,14188705,14528769,8795505,10460324,26176631,7257756,10005935,16158382,13733923,7590389,21250212,6781605,5923823,4781106,5011411,4715807,3470165,5753993,9198722,9859368,2091773,4370944,4250236,4169735,4249445,4125968
105年出站,2040165,5189059,4981805,2623695,5140820,4971276,3854968,1392700,1012334,4957557,694866,1454413,2967937,3325112,4161204,5243411,4644651,1820030,2816544,1203526,2742347,2855424,1370876,4086772,858264,3966201,4023238,5495609,6941559,5725412,3193177,10658225,6846520,11189953,10595155,2943727,12763987,9308142,8554386,7305679,8225597,24391800,33165823,12230974,8067148,5407082,10019617,12828719,10548542,8335098,4134610,10745855,2477910,2684194,6451337,2681895,1192407,969569,4345863,3451464,2418640,14212091,4240136,2406132,7243810,6350666,9926917,15103489,13420095,8907183,9940673,26585416,7576897,9788225,15958722,14548624,8263047,21558162,6729523,5932664,4997701,4837139,3944807,2689873,5790342,9559055,10924825,2139630,4034811,4250212,4297120,3939411,4118325
106年進站,2060990,5209076,4742859,2130670,5277203,5066917,3958823,1528995,1095792,4728631,854013,1456484,2797509,3243678,4029931,5067523,4745328,1894980,2912459,1205986,2754505,2799173,1579081,5417806,838170,4530513,3774409,5792604,7248396,5723960,3411324,10868996,6750458,11000664,10522926,3005973,12601619,9244756,8774792,7570062,7692790,26359000,31197257,11549993,7612696,5034899,9702925,12938973,10232965,8175224,4343729,10364047,2675944,3248200,5985806,2463575,1232930,943668,4172300,3291863,2464485,14140076,4243901,2501087,7323191,7380614,10772513,14468166,14060178,8830999,10798366,26829931,7252583,9453169,15675584,13403925,7563378,21880747,6743881,5861072,4661264,5837721,4780880,3434828,5894129,9350029,10031395,2142711,4518285,4308973,4172205,4267114,4145322
106年出站,1977051,5112034,4919578,2517200,5263664,4918159,3857963,1416112,1025301,4902519,703297,1471026,2866749,3285971,4094280,5271882,4746324,1829698,2842918,1170116,2735503,2847467,1492308,4089343,873187,4049861,3978693,5610476,7070219,5754050,3256522,10675811,6689990,10954867,10452661,3088767,12884517,9326635,8533057,7316478,8100523,22835474,34595386,12211759,8142393,5351543,9765391,12484662,10373050,8329561,4166905,10737428,2489168,2786258,6414648,2330197,1216061,978962,4305523,3382013,2340038,13774118,4422545,2436048,7408978,6671924,9837292,15490838,13463259,8989000,10282826,27093911,7588933,9210826,15444163,14095572,8190617,22331866,6733162,5838907,4880300,5824972,3946538,2684544,5923877,9710481,11102361,2189856,4148350,4354842,4313766,4053725,4163893
107年進站,2075055,5175220,4827853,2026566,5472984,5141615,4019714,1551505,1120953,4778863,892249,1482783,2839959,3330100,4066376,5275934,5135874,1928259,3159652,1233739,2804689,2860206,1676622,5604301,851174,4725986,3872068,5904054,7461658,6007996,3549999,10839686,6708579,11394314,10582768,3260110,12776770,9405078,8993787,7735191,7909270,26396310,31536469,11581527,7785594,5015894,10099562,12635293,10514627,8395523,4414154,10695851,2734266,3330714,6153636,2358223,1280115,1019193,4243541,3320374,2639848,14375721,4545957,2591967,7559052,8120326,11149543,15013049,14474676,9010655,11282310,27155469,7504468,9679479,15731887,13144484,7783914,22173529,6914137,5929101,4739258,6257561,4920095,3483340,6049043,9640002,10179596,2242944,4827068,4322623,4224150,4373311,4219785
107年出站,1991996,5093383,4990775,2428719,5417157,4992987,3938038,1443539,1043371,4975379,732347,1524222,2914752,3355058,4106967,5451569,5087487,1866019,3100802,1201076,2775529,2931054,1588439,4205556,886878,4189326,4131056,5751329,7257003,6052769,3399499,10619721,6652606,11352328,10451972,3325773,13164175,9508694,8731929,7518974,8274792,22811299,34728534,12523995,8318697,5352155,10134131,12277878,10574532,8512241,4252516,11085850,2556078,2873253,6581812,2236861,1270759,1039593,4371539,3445339,2537573,13925436,4728610,2536727,7649109,7390040,10143065,16109234,13945775,9227367,10786726,27354512,7813286,9434881,15404685,13765776,8428392,22701266,6950169,5899336,4968377,6315746,4089443,2783636,6066397,9992813,11252360,2310544,4431264,4370678,4401302,4162391,4249206
108年進站,2134235,5160937,4930890,2045650,5506382,5216306,4096043,1624626,1137795,4726784,920476,1505355,2976268,3342608,4370474,5337318,5357695,1966180,3335302,1274941,2928222,2953953,1808454,5913923,1175566,4924815,4028843,6115163,7573177,6162698,3687794,10960768,6697772,11839165,10810764,3413429,13048812,9588769,9161345,7940668,8173487,26383018,32213290,12557498,8074391,5047217,10497855,12529506,10752431,8528563,4472613,10851408,2674797,3320081,6502146,2425455,1313968,1111153,4323933,3362609,3705644,14472026,4859647,2676232,7697457,8795910,11599492,15431724,14942869,9095877,11703409,28021574,7802451,9975312,15508892,12768222,8058457,22918425,7084156,6014623,4783943,6731368,5136693,3636745,6218328,10070060,10584883,2503141,5167189,4329197,4379442,4518600,4280696
108年出站,2044026,5082422,5085322,2412453,5450194,5048206,4009890,1518282,1063193,4726784,744769,1561222,3045300,3367772,4437983,5497713,5287254,1910951,3278281,1238799,2900911,3027637,1727473,4437086,1223764,4334631,4328408,5982851,7385181,6221183,3541385,10683673,6645947,11789483,10670179,3478480,13481169,9752318,8940430,7754299,8516877,22834584,35184207,13418573,8595742,5398594,10584636,12112395,10831768,8593000,4325451,11240924,2494589,2856901,6946372,2302274,1306497,1136776,4409363,3503817,4072011,13571505,5010919,2631584,7777414,8043072,10506112,16646188,14379777,9346404,11242912,28297655,8093456,9796328,15207923,13307828,8703301,23497857,7098530,5990333,4996530,6867475,4310013,2976175,6219435,10372629,11678951,2505663,4731585,4401348,4574981,4315094,4329358
109年進站,1444656,4552397,4353820,1814979,4905541,4650545,3717440,1436032,1080616,4726784,844582,1382051,2020463,2954672,3654927,5042253,5046864,1818359,3109593,1174031,2668881,2681258,1741362,5159242,1287597,4450279,3750938,5546806,6805061,5572492,3425118,9284198,5820362,10734568,8270266,3071496,11730719,8538692,8686835,6985126,6979222,20404684,25952615,11355258,6577722,4461985,8920151,9344679,9059946,7638481,4089266,9565237,2419934,2850945,5894843,1862821,1210354,1006513,4087411,3010251,3504301,11728255,4252558,2534968,7180416,7984062,10490170,13179867,13136160,8357011,9407075,20703442,6677291,8092844,13018305,11069250,6509991,20637930,6554002,5421292,4565712,6353281,4592738,3139203,5457038,8924603,9170518,2373705,4823791,3937778,4010349,4147069,3900799
109年出站,1446728,4507674,4483186,2017550,4837153,4489800,3645174,1334391,999717,4726784,678725,1431669,2034119,2977682,3692928,5173538,4936603,1752786,3068002,1140545,2688074,2727381,1651061,3704730,1334062,3903635,4044182,5443720,6436941,5613905,3305394,9048925,5761916,10671444,8119502,3112171,12071024,8674823,7433452,6701027,7240811,17604496,28171519,11916851,7033275,4688811,9105254,9112491,8984887,7656015,3961681,9870531,2256582,2454989,6269930,1748409,1203497,1036554,4155466,3155100,3873168,10821725,4398738,2507424,7251672,7269268,9358582,14368550,12761947,8587226,9064781,20749300,6918003,8236685,12754760,11731343,7118298,21215403,6601304,5384870,4737701,6511018,3908318,2667737,5452118,9165339,10200643,2115438,4434231,4008336,4196567,3967074,3939088
110年進站,968525,3440683,3212212,1464580,3651942,3507780,2852930,1154376,877325,4726784,669144,1100259,1467552,2231807,2868158,3809883,4019459,1422016,2480277,946195,2051172,2122356,1435344,3875900,933010,3568681,3138978,4143457,5119760,4312085,2695037,6836249,4304120,8039130,6095379,2254407,8913560,6474341,6660679,5409871,5254776,13754299,18802025,8890255,4892790,3479061,6999937,6664010,7102936,6041174,3228584,7525962,1967982,2310660,4701216,1419666,1012565,817388,3289628,2453020,3064125,9214096,3243447,2053710,5674237,6307898,7737333,9491400,9939559,6548582,6695303,15262101,5035773,6461945,9657900,8134868,4782110,15443654,5083974,4182649,3535492,5013526,3542000,2316367,4238706,6824542,7044257,1511818,3734786,3096982,3142951,3251927,3063387
110年出站,969724,3416599,3262260,1600872,3622804,3410245,2811360,1077034,823467,4726784,539303,1139613,1474018,2252599,2875864,3892978,3914547,1371002,2457170,919759,2072449,2174566,1359449,2761933,958267,3158726,3310103,4143919,4841564,4338794,2600811,6658264,4274507,7986409,5982674,2255218,9192134,6600521,5567431,5213314,5405605,11760545,20276499,9253218,5275977,3645061,7190405,6581676,6963158,6045664,3131199,7726609,1849855,2034099,4958303,1349772,1004936,838224,3356029,2544589,3383462,8445464,3354940,2023349,5755444,5761363,6915049,10383234,9715642,6726253,6418790,15349849,5193953,6342025,9479966,8495461,5184735,15912535,5130418,4158922,3655722,5151331,3074086,1976343,4216763,6970766,7833355,1536172,3448897,3166973,3282973,3137232,3118292
