,offer_amt,mat_stated,mat_actual,prot,prot_r,elim,elim_r,coupon,yield,covenant,rating,leverage
1,9642,12.0246406570842,2.11088295687885,2.02600958247776,0.168488160291439,9.91375770020534,0.824453551912568,7.55,7.55,0,6,1
2,13176,15.025325119781,3.52087611225188,3.02532511978097,0.201348396501458,11.5044490075291,0.76567055393586,7.75,7.75,0,6,1
3,5000,15.0581793292266,3.05817932922656,3.05817932922656,0.203090909090909,12,0.796909090909091,8,8,0,6,1
4,10000,15.0581793292266,3.05817932922656,3.05817932922656,0.203090909090909,12,0.796909090909091,8.25,8.428,0,6,1
5,2261,4.94182067077344,2.11088295687885,1.94113620807666,0.392797783933518,2.83093771389459,0.572853185595568,8.25,8.25,0,12,1
6,26088,15.006160164271,3.00616016427105,3.00616016427105,0.200328407224959,12,0.799671592775041,8,8,0,6,1
7,7337,12.0054757015743,2.09171800136893,2.00684462696783,0.167160775370582,9.91375770020534,0.825769669327252,7.85,7.85,0,6,1
8,25000,15.0581793292266,2.05886379192334,2.05886379192334,0.136727272727273,12.9993155373032,0.863272727272727,8.2,8.2,0,6,1
9,35000,15.0581793292266,2.05886379192334,2.05886379192334,0.136727272727273,12.9993155373032,0.863272727272727,8,8,0,6,0
10,500000,30.009582477755,18.3545516769336,0.0082135523613963,0.00027369765532341,11.6550308008214,0.388376972903932,6.25,6.25483,4,3,1
11,25000,15.047227926078,4.04654346338125,4.04654346338125,0.268922852983988,11.0006844626968,0.731077147016012,8.2,8.2,0,6,1
12,862,10.0068446269678,2.09171800136893,2.00684462696783,0.200547195622435,7.91512662559891,0.790971272229822,8.5,8.5,0,12,1
13,3052,4.92265571526352,2.09171800136893,1.92197125256674,0.390433815350389,2.83093771389459,0.575083426028921,8.25,8.25,0,12,1
14,31336,14.9869952087611,2.98699520876112,2.98699520876112,0.199305809280234,12,0.800694190719766,8,8,0,6,1
15,4419,11.9863107460643,2.072553045859,1.98767967145791,0.165829145728643,9.91375770020534,0.827089995431704,7.85,7.85,0,6,1
16,50000,15.0034223134839,2.0041067761807,2.0041067761807,0.133576642335766,12.9993155373032,0.866423357664234,8,8,0,6,1
17,15000,7.03901437371663,2.03969883641342,2.03969883641342,0.28977051730844,4.99931553730322,0.71022948269156,7.45,7.45,0,5,1
18,250000,9.99041752224504,9.99041752224504,0.0136892539356605,0.00137023842148534,0,0,7.625,7.66124,4,5,1
19,23720,7.00068446269678,4.95277207392197,3.00068446269678,0.428627297614392,2.04791238877481,0.292530308955808,1,1,0,3,1
20,250000,5.03764544832307,5.03764544832307,3.04722792607803,0.604891304347826,0,0,4,4,4,13,0
21,3137,10.0533880903491,2.05338809034908,2.05338809034908,0.204248366013072,8,0.795751633986928,7.8,7.8,0,6,1
22,61242,15.0527036276523,3.05270362765229,3.05270362765229,0.202801018552201,12,0.797198981447799,8,8,0,6,1
23,35000,15.0609171800137,3.06091718001369,3.06091718001369,0.203235775313579,12,0.796764224686421,8,8,0,5,1
24,15000,10.0424366872005,3.04175222450376,3.04175222450376,0.30288985823337,7.00068446269678,0.69711014176663,7.625,7.91826,0,5,1
