,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12
Android,5,13,20,30,27,19
Safari,32,24,23,23,21,23
Opera,27,20,24,17,16,10
Chrome,0,0,0,1,8,30
UC,0,1,5,10,12,11
Nokia,20,16,13,10,7,3
BB,10,18,8,3,3,1
NetFront,4,4,3,4,3,1
IEMobile,1,0,0.4,1,2,2
Sony,2,1,0.5,0,0,0
Other,0.5,0,0,0,0,0
