,date,Pfizer,COVID-19,Vaccines,Tesla
2018-01-07,,3,0.0,4.0,48.0
2018-01-14,,3,0.0,4.0,46.0
2018-01-21,,3,0.0,4.0,47.0
2018-01-28,,3,0.0,5.0,47.0
2018-02-04,,3,0.0,4.0,100.0
2018-02-11,,3,0.0,4.0,61.0
2018-02-18,,3,0.0,4.0,52.0
2018-02-25,,3,0.0,4.0,45.0
2018-03-04,,2,0.0,4.0,44.0
2018-03-11,,3,0.0,4.0,44.0
2018-03-18,,3,0.0,4.0,44.0
2018-03-25,,2,0.0,4.0,58.0
2018-04-01,,3,0.0,4.0,65.0
2018-04-08,,2,0.0,4.0,45.0
2018-04-15,,3,0.0,4.0,47.0
2018-04-22,,2,0.0,4.0,46.0
2018-04-29,,2,0.0,4.0,53.0
2018-05-06,,2,0.0,4.0,49.0
2018-05-13,,2,0.0,4.0,51.0
2018-05-20,,2,0.0,4.0,48.0
2018-05-27,,2,0.0,3.0,46.0
2018-06-03,,2,0.0,3.0,49.0
2018-06-10,,2,0.0,4.0,46.0
2018-06-17,,2,0.0,3.0,46.0
2018-06-24,,2,0.0,3.0,47.0
2018-07-01,,2,0.0,3.0,49.0
2018-07-08,,3,0.0,3.0,49.0
2018-07-15,,2,0.0,3.0,47.0
2018-07-22,,2,0.0,4.0,50.0
2018-07-29,,3,0.0,3.0,56.0
2018-08-05,,3,0.0,4.0,65.0
2018-08-12,,2,0.0,4.0,56.0
2018-08-19,,2,0.0,4.0,54.0
2018-08-26,,3,0.0,4.0,52.0
2018-09-02,,2,0.0,4.0,61.0
2018-09-09,,2,0.0,4.0,60.0
2018-09-16,,2,0.0,4.0,51.0
2018-09-23,,3,0.0,4.0,58.0
2018-09-30,,3,0.0,4.0,66.0
2018-10-07,,3,0.0,4.0,56.0
2018-10-14,,3,0.0,4.0,53.0
2018-10-21,,3,0.0,5.0,61.0
2018-10-28,,2,0.0,5.0,52.0
2018-11-04,,2,0.0,4.0,50.0
2018-11-11,,3,0.0,5.0,49.0
2018-11-18,,2,0.0,4.0,45.0
2018-11-25,,3,0.0,4.0,46.0
2018-12-02,,2,0.0,4.0,50.0
2018-12-09,,2,0.0,4.0,49.0
2018-12-16,,3,0.0,3.0,53.0
2018-12-23,,2,0.0,3.0,54.0
2018-12-30,,2,0.0,3.0,54.0
2019-01-06,,1,0.0,2.0,27.0
2019-01-13,,1,0.0,2.0,25.0
2019-01-20,,1,0.0,2.0,24.0
2019-01-27,,1,0.0,3.0,25.0
2019-02-03,,1,0.0,3.0,25.0
2019-02-10,,1,0.0,3.0,23.0
2019-02-17,,1,0.0,2.0,25.0
2019-02-24,,1,0.0,3.0,34.0
2019-03-03,,1,0.0,3.0,35.0
2019-03-10,,1,0.0,3.0,39.0
2019-03-17,,1,0.0,2.0,33.0
2019-03-24,,1,0.0,3.0,28.0
2019-03-31,,1,0.0,2.0,29.0
2019-04-07,,1,0.0,3.0,29.0
2019-04-14,,1,0.0,3.0,26.0
2019-04-21,,1,0.0,3.0,37.0
2019-04-28,,1,0.0,3.0,32.0
2019-05-05,,1,0.0,3.0,33.0
2019-05-12,,1,0.0,2.0,32.0
2019-05-19,,1,0.0,2.0,34.0
2019-05-26,,1,0.0,2.0,32.0
2019-06-02,,2,0.0,2.0,34.0
2019-06-09,,1,0.0,2.0,31.0
2019-06-16,,1,0.0,2.0,29.0
2019-06-23,,1,0.0,2.0,30.0
2019-06-30,,1,0.0,2.0,31.0
2019-07-07,,1,0.0,2.0,29.0
2019-07-14,,1,0.0,2.0,31.0
2019-07-21,,1,0.0,2.0,33.0
2019-07-28,,2,0.0,2.0,31.0
2019-08-04,,1,0.0,2.0,29.0
2019-08-11,,1,0.0,2.0,29.0
2019-08-18,,1,0.0,2.0,30.0
2019-08-25,,1,0.0,2.0,27.0
2019-09-01,,1,0.0,2.0,28.0
2019-09-08,,1,0.0,2.0,30.0
2019-09-15,,1,0.0,2.0,31.0
2019-09-22,,1,0.0,2.0,31.0
2019-09-29,,1,0.0,2.0,31.0
2019-10-06,,1,0.0,2.0,30.0
2019-10-13,,1,0.0,2.0,30.0
2019-10-20,,1,0.0,2.0,35.0
2019-10-27,,1,0.0,2.0,31.0
2019-11-03,,1,0.0,2.0,29.0
2019-11-10,,1,0.0,2.0,33.0
2019-11-17,,1,0.0,2.0,100.0
2019-11-24,,1,0.0,2.0,96.0
2019-12-01,,1,0.0,2.0,46.0
2019-12-08,,1,0.0,2.0,37.0
2019-12-15,,1,0.0,2.0,37.0
2019-12-22,,1,0.0,1.0,43.0
2019-12-29,,1,0.0,2.0,39.0
