VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,T2
811.0,5367.0,13572.0,3554.0,0.0,41475.0,6023.0,1118.0,0.0,90.0,35321.0,6154.0,860.0,5542.0,10702.0,445.0,-158.0,605.0,605.0,366.0,-439.0,14631.0,2720.0,489.0,1
-572.0,454.0,1774.0,4420.0,70.0,6287.000000000001,460.0,3629.0,924.0,0.0,3811.0,1551.0,1435.0,314.0,8315.0,241.0,-137.0,-668.0,-668.0,-813.0,-1013.0,-174.0,-1028.0,76.0,1
115.0,4088.0,6739.0,1475.0,18.0,8280.0,2545.0,1377.0,1009.0,0.0,4724.0,2547.0,2022.0,3417.0,19292.0,129.0,-235.0,136.0,136.0,-14.0,3253.0,1716.0,-43.0,58.0,1
3179.0,9930.0,86256.0,2419.0,186.0,89197.0,74108.0,2327.0,16961.0,0.0,55635.0,16601.0,15813.0,14276.0,115026.0,582.0,-4255.0,7999.0,7999.0,2597.0,609.0,13743.0,1338.0,53.0,1
-108.0,6342.0,14510.0,1030.0,877.0,16827.0,6382.0,1.0,3416.0,474.0,11809.0,1602.0,0.0,5303.0,53205.0,514.0,-300.0,-79.0,-79.0,-622.0,70.0,532.0,-553.0,198.0,1
332.0,1034.0,5255.0,2148.0,2.0,7689.0,4200.0,1394.0,1878.0,0.0,2336.0,3475.0,2564.0,1609.0,7369.0,267.0,12.0,105.0,105.0,65.0,725.0,-491.0,-617.0,30.0,1
-1446.0,9493.0,45579.0,6651.0,888.0,53392.0,7759.0,2716.0,7073.0,3472.0,35742.0,10576.0,5.0,13697.0,131728.0,713.0,-214.0,-1406.9999999999998,-1406.9999999999998,-2160.0,-10475.0,6454.0,-1282.0,618.0,1
533.0,2381.0,4076.0000000000014,2264.0,146.0,6675.0,1686.0,7.0,1997.0,1567.0,2388.0,2289.0,159.0,1201.0,16838.0,376.0,-58.0,279.0,279.0,158.0,248.0,0.0,233.0,59.0,1
3148.0,48562.0,66260.0,1984.0,211.0,68941.0,16888.0,827.0,9144.0,0.0,47868.0,11929.0,10124.0,31717.0,131859.0,341.0,-1556.0,5821.000000000001,5821.000000000001,2807.0,19200.0,25267.0,1527.0,114.0,1
684.0,19.0,6478.0,2416.0,59.0,9045.0,6380.0,688.0,507.0,0.0,8232.0,306.0,136.0,4093.0,6519.0,331.0,59.0,484.0,484.0,354.0,-64.0,2743.0,455.0,27.0,1
1088.0,4637.0,5904.0,7257.0,1021.0,14231.0,860.0,4796.0,0.0,21.0,2327.0,11904.000000000002,11145.0,2016.0,24193.0,1283.0,-895.0,717.0,717.0,-195.0,311.0,-481.0,1295.0,207.0,1
62.0,536.0,1067.0,4143.0,12.0,5317.0,471.0,1395.0,1219.0,0.0,2200.0,1898.0,1504.0,321.0,9292.0,469.0,-168.0,-205.0,-205.0,-406.0,-33.0,385.0,-493.0,112.0,1
614.0,653.0,2853.9999999999995,3234.0,55.0,6280.0,1598.0,2926.0,415.0,0.0,2889.0,2976.0,2442.0,1913.0,0.0,256.0,18.0,311.0,311.0,358.0,-152.0,-354.0,1751.0,278.0,1
-2428.0,902.0,6940.0,148.0,32.0,7144.0,6010.0,0.0,1838.0,0.0,3608.0,1698.0,1093.0,348.0,3901.0,94.0,-116.0,-2367.0,-2367.0,-2523.0,242.0,1926.0,-3515.0,29.0,1
582.0,6486.0,7613.0,1850.0,27.0,9677.0,1072.0,0.0,1121.0,0.0,5913.0,2618.0,1804.0,4566.0,36786.0,661.0,-282.0,280.0,280.0,-79.0,891.0,-304.0,-105.0,169.0,1
11424.000000000002,2209.0,25943.0,110022.0,1965.0,138010.0,19992.0,98546.0,15405.0,0.0,19311.0,12814.0,4538.0,10073.0,121228.0,7840.0,-496.0,4149.0,4149.0,3583.9999999999995,-463.0,-12.0,9919.000000000002,1428.0,1
1742.0,17657.0,32273.000000000004,2883.0,2543.0,38679.0,14411.0,493.0,15486.0,0.0,17529.0,5664.0,2500.0,2983.0,46824.0,998.0,-395.0,1547.0,1547.0,745.0,7163.0,3309.0,-67.0,219.0,1
646.0,2654.0,5423.0,1839.0,48.0,7898.0,2031.0,1149.0,2745.0,0.0,3828.0,1325.9999999999998,400.0,2898.0,32452.0,1043.0,-185.0,-455.0,-455.0,-397.0,532.0,-1609.0,2457.0,215.0,1
2239.0,10124.0,16457.0,22174.0,631.0,39493.0,4641.0,12580.0,12307.0,115.0,16906.0,9183.0,6939.0,9655.0,54631.0,3536.0,-758.0,-242.0,-242.0,-1297.0,-573.0,-575.0,-855.0,634.0,1
-2030.0,23511.0,52831.0,3.0,150.0,68494.0,22188.0,2.0,0.0,20593.0,41794.0,26700.0,0.0,30894.0,49036.0,186.0,-28.0,-2189.0,-2189.0,-2215.9999999999995,1798.0,19345.0,24513.0,416.0,1
-2937.0,4371.0,6172.000000000001,39474.0,28.0,46236.99999999999,1108.0,14920.0,4972.0,0.0,6910.0,23985.0,19333.0,1452.0,0.0,7671.0,-2249.0,-8336.0,-8336.0,-10607.999999999998,1676.0,3657.0,15541.0,175.0,1
772.0,4816.0,23359.0,73.0,5.0,24736.0,18543.0,12.0,8044.000000000001,0.0,14746.0,1447.0,0.0,8486.0,100780.0,129.0,-737.0,1756.0,1756.0,643.0,1214.0,6877.0,667.0,2.0,1
959.0,7258.0,14382.0,4589.0,362.0,20087.0,4748.0,3141.0,9195.0,87.0,6882.0,3974.0,2507.0,4824.0,62467.0,680.0,-170.0,339.0,339.0,279.0,-1648.0,-1144.0,118.0,209.0,1
-640.0,872.0,3723.0,737.0,83.0,4906.000000000001,2843.0,145.0,0.0,0.0,4064.0,831.0,542.0,2189.0,8042.0,289.0,27.0,-1008.0,-1008.0,-929.0,470.0,650.0,-983.0,76.0,1
1987.0,1710.0,6106.0,20474.0,31.0,26960.0,4374.0,12.0,6100.0,0.0,9578.0,8513.0,7457.0,2456.0,0.0,4332.0,-242.0,-2100.0,-2100.0,-2345.0,36.0,2995.0,-2174.0,245.0,1
2613.0,15814.0,17261.0,18622.0,643.0,36802.0,1347.0,8203.0,11645.0,0.0,8598.0,16559.0,15633.0,5878.0,50534.0,2503.0,-855.0,982.0,982.0,111.0,2671.0,1579.0,9.0,193.0,1
239.0,1088.0,3602.0,1125.0,431.0,5171.0,1622.0,143.0,2168.0,0.0,2354.0,649.0,0.0,125.0,13292.0,346.0,0.0,-78.0,-78.0,-107.0,-153.0,577.0,380.0,160.0,1
143.0,6546.0,11742.0,2719.0,2.0,14463.0,5193.0,48.0,147.0,0.0,13086.0,1230.0,0.0,573.0,0.0,1150.0,-377.0,-609.0,-609.0,-1006.0,-965.0,1273.0,-883.0,220.0,1
-61.0,92.0,158.0,62.0,0.0,230.0,36.0,3.0,0.0,0.0,162.0,68.0,31.0,56.0,997.0,12.0,-3.0,-84.0,-84.0,-73.0,32.0,-19.0,-49.0,3.0,1
11573.0,12667.0,63564.0,175421.0,14939.0,259723.0,47073.0,4314.0,34208.0,0.0,110439.0,115076.0,74761.0,24477.0,456314.0,19827.0,-7084.0,-7463.999999999999,-7463.999999999999,-7716.0,-2185.0,22565.0,25984.0,1376.0,1
387.0,1566.0,5510.0,1035.0,164.0,11034.0,3902.0,0.0,6082.0,380.0,4023.0,929.0,19.0,992.0,15405.0,278.0,-125.0,71.0,71.0,110.0,-428.0,57.999999999999545,97.0,56.0,1
-1053.0,10434.0,17923.0,3318.0,96.0,21432.0,2802.0,1690.0,9251.0,2514.0,4245.0,7936.0,3271.0,1183.0,34796.0,333.0,-274.0,-1002.0,-1002.0,-1386.0,1282.0,901.0,-963.0,221.0,1
-2917.0,7787.0,26416.0,1546.0,6.0,28011.0,16545.0,1086.0,4033.0000000000014,0.0,22978.0,1001.0,0.0,18590.0,173382.0,526.0,49.0,-3461.0000000000005,-3461.0000000000005,-3443.0,286.0,1587.0,-3150.0,270.0,1
-2052.0,14418.0,25753.0,26233.0,1380.0,53636.0,9911.0,14336.0,6882.0,241.0,14588.0,32140.0,29376.0,4655.0,95941.0,2918.0,-1614.0,-3207.0,-3207.0,-4970.0,918.0,6887.0,-6686.0,570.0,1
-250.0,1709.0,5266.0,669.0,1.0,5939.0,3319.0,12.0,1634.0,68.0,2789.0,1516.0,1191.0,540.0,0.0,108.0,-85.0,-272.0,-272.0,-358.0,-371.0,-205.0,-490.0,73.0,1
-99.0,561.0,740.0,1132.0,14.0,1895.0,112.0,902.0,853.0,0.0,195.0,847.0,636.0,24.0,3172.0,84.0,-25.0,-45.0,-45.0,-184.0,-135.0,-120.0,-310.0,24.0,1
3469.0,2152.0,4306.999999999999,474.0,16.0,6500.0,1638.0,110.0,2339.0,279.0,1859.0,2302.0,285.0,1061.0,27842.0,282.0,24.0,4689.0,4689.0,3187.0,674.0,66.0,1392.0,65.0,1
2610.0,4412.0,10965.0,5546.0,216.0,17044.0,4876.0,2698.0,5036.0,0.0,5634.0,6374.0,5863.0,3673.0,0.0,1253.0,-673.0,2590.0,2590.0,1357.0,62.0,109.0,398.0,290.0,1
1521.9999999999998,9476.0,31211.0,2742.0,120.0,40094.0,18251.0,2327.0,5862.0,2727.0,24341.0,9890.0,2283.0,7933.0,50434.0,545.0,-1098.0,1361.0,1361.0,548.0,6548.0,9474.0,2155.0,101.0,1
205.0,1629.0,5296.0,1863.0,100.0,7269.0,3649.0,1316.0,2421.0,0.0,2594.0,2254.0,2.0,160.0,0.0,205.0,-69.0,825.0,825.0,0.0,87.0,1023.0,-39.0,81.0,1
23.0,133.0,1470.9999999999998,8495.0,0.0,12265.0,1111.0,7276.0,3387.0,0.0,1564.0,7314.0,6759.0,667.0,5815.0,655.0,-103.0,-471.0,-471.0,-632.0,11.0,-101.0,536.0,74.0,1
-401.0,15329.0,36064.0,1614.0,11375.0,61188.99999999999,18723.0,225.0,0.0,9910.0,37334.0,23855.0,11500.0,22745.0,70616.0,2532.0,-1852.0,-396.0,-396.0,-2933.0000000000005,1800.0,7013.0,9386.0,400.0,1
816.0,19.0,791.0,12584.0,83.0,13512.0,612.0,11578.0,1097.0,0.0,3734.0,8654.0,7508.0,228.0,0.0,595.0,-368.0,676.0,676.0,222.0,-2.0,564.0,-107.0,75.0,1
2345.0,3400.0,15298.0,16463.0,117.0,136456.0,11580.0,7601.0,0.0,0.0,50698.0,85612.0,80149.0,1609.0,54401.0,2065.0,-4148.0,4452.0,4452.0,279.0,421.0,-690.0,-142.0,230.0,1
138.0,547.0,1213.0,210.0,0.0,1423.0,569.0,0.0,797.0,0.0,580.0,46.0,0.0,58.0,1545.0,67.0,-17.0,118.0,118.0,71.0,19.0,43.0,9.0,11.0,1
-971.0,1638.0,5454.0,3125.0,298.0,8946.0,3239.0,0.0,2709.0,52.0,3030.0,3207.0,889.0,1330.0,27528.0,451.0,-172.0,-1284.0,-1284.0,-1421.0,-2005.0,-1193.0,425.0,163.0,1
