url, class, color
https://english.president.gov.tw/News/6175,col-sm-8,lightgreen
https://www.mac.gov.tw/en/News_Content.aspx?n=C62A6E4BD490D38E&sms=F56AA93EEC16ECD5&s=1D8A7646C942AC14,p,royalblue
http://www.gwytb.gov.cn/wyly/201904/t20190412_12155687.htm,Custom_UnionStyle,crimson
